artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,song_description
Wiz Khalifa;Charlie Puth,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),82,229525,False,0.7041483434694676,-0.6376332930135243,0.15030809733615144,-0.02981419058800676,0.1626762002278722,-0.5041111757263843,-0.7808393614931325,-0.7369667854875118,-1.4051128277219058,dance,"A calm, slow-paced dance song with a sad mood."
Marshmello;Bastille,Happier,Happier,83,214289,False,0.6926237600234052,0.5988046064715404,1.095562218236194,-0.3731339347460433,-0.3726285839769302,-0.5041145030885494,-0.2445357987893589,0.7596008211237367,-0.7382940129088836,dance,"A calm, slow-paced dance song with a happy mood."
Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),Love Me Like You Do,79,253520,False,-0.4483100011368396,-0.17645388355928804,0.3232931804625791,-0.5244594418129463,-0.13504949435794483,-0.5041145030885494,-0.5702049553773508,-0.5788243322115808,-0.9051821835196665,dance,"A calm, slow-paced dance song with a sad mood."
Katy Perry,Smile,Harleys In Hawaii,78,185480,False,0.888541678606477,0.43580153933685334,0.40879155488138813,0.3816020317501361,-0.4598411611788362,-0.5040932144315906,-0.5019194870605138,1.018028732574648,0.5986793786722034,dance,"A calm, slow-paced dance song with a happy mood."
The Chainsmokers;Coldplay,Memories...Do Not Open,Something Just Like This,85,247160,False,0.28926333941119725,-0.025377870117382916,0.2962518341347697,-0.5008148313337427,-0.7972636150427622,-0.5040679846272129,-0.2602939837855521,-0.1082541053905182,-0.6380877237794028,dance,"A calm, slow-paced dance song with a sad mood."
Shawn Mendes,Illuminate,Treat You Better,84,187973,False,-0.7076131286732587,0.7061480897065778,0.8313125912534097,2.4244963771533286,-0.6282516550859651,-0.5041145030885494,-0.559699498713222,1.0527429296352182,-1.3160479835222678,dance,"A high-energy, slow-paced dance song with a happy mood."
David Guetta;Afrojack;Bebe Rexha;Nicki Minaj,Listen,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",75,192560,False,0.16825521322753484,0.3523121634873795,0.8287277566779574,0.6275059807338536,-0.2252694018081925,-0.5041145030885494,0.5853952776768138,0.19645940214115357,-1.2065015609186676,dance,"A calm, slow-paced dance song with a sad mood."
Anne-Marie,Speak Your Mind (Deluxe),2002,82,186986,False,0.75024667725372,0.16545498896712882,1.0693162056239085,0.3059392782166846,-0.8351559761718662,-0.5041145030885494,-0.4021176487512904,0.49731577666609506,-0.8677882920036388,dance,"A calm, slow-paced dance song with a sad mood."
Shawn Mendes;Camila Cabello,Shawn Mendes (Deluxe),Señorita,80,190799,False,1.1075087640816756,-0.37126242720806,0.43941190292905463,-0.5263510106512826,-0.829141315675183,-0.5041145030885494,-0.6868155243491803,1.0604571956486784,-0.17281564629005663,dance,"A calm, slow-paced dance song with a happy mood."
Doja Cat;The Weeknd,Planet Her,You Right,84,186173,True,1.5051068929708515,-0.08103745401703218,0.36683770138750754,-0.2662602953800429,-0.8977084453373712,-0.49658755760841394,-0.6778858861846706,-0.14682543545781845,0.22810958308651708,dance,"A calm, slow-paced dance song with a sad mood."
Chris Brown,Under The Influence,Under The Influence (Body Language),77,148750,True,0.30655021458029186,-0.08501313858129284,0.385130376844555,-0.44595933502199037,-0.8303442477745197,-0.5034264175146143,-0.4441394754078056,-0.05811137630302788,0.7567944953412246,dance,"A calm, slow-paced dance song with a sad mood."
Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon,82,217866,False,-0.39644937562955573,-0.20428367550911267,0.7034626964829581,-0.4979774780762383,0.5897170954923775,-0.5041145030885494,-0.559699498713222,-1.5261361986644741,0.7912195587172639,dance,"A calm, slow-paced dance song with a sad mood."
Christina Perri,A Thousand Years,A Thousand Years,81,285120,False,-0.8401458383029842,-0.931833950768813,0.16184043621124658,-0.54810405229215,-0.017763614672623013,-0.5010100418840815,-0.5439413137170289,-1.2075370123085742,0.5630867986118983,dance,"A calm, slow-paced dance song with a sad mood."
Halsey,Without Me,Without Me,78,201660,True,1.0671727220204548,-0.6098035010636997,0.24037964061922246,-0.13385047669650274,-0.05385157765272208,-0.5040850737008566,-0.6300860583628848,0.22731646619499377,0.46344758901477506,dance,"A calm, slow-paced dance song with a sad mood."
Halsey,Manic,Without Me,79,201660,True,1.0671727220204548,-0.6098035010636997,0.24037964061922246,-0.13385047669650274,-0.05385157765272208,-0.5040850737008566,-0.6300860583628848,0.22731646619499377,0.46344758901477506,dance,"A calm, slow-paced dance song with a sad mood."
Jennifer Lopez;Pitbull,Love?,On The Floor,79,284866,False,0.9404023041137609,0.5391693380076306,0.6094144846222681,-0.3315194203026449,-0.6312589853343067,-0.5025703486080753,-0.7587779024984622,0.3893160524776544,0.2619342093106497,dance,"A calm, slow-paced dance song with a sad mood."
DJ Snake;Selena Gomez;Ozuna;Cardi B,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",76,212500,True,1.585778977093293,0.6345857675498864,0.8136164160830052,1.355759983493325,-0.47487781242054417,-0.5040989323257965,-0.7845162713255778,0.5513156387603154,-0.8761944121303461,dance,"A high-energy, slow-paced dance song with a sad mood."
The Vamps,Meet The Vamps,Somebody To You,77,185097,False,-0.23510520738467253,0.7021724051423173,0.458698745530507,-0.46203767014784886,-0.770498375832522,-0.5041145030885494,0.6274171043333289,1.6274557476379916,1.6616199256465387,dance,"A high-energy, slow-paced dance song with a happy mood."
The Chainsmokers;ILLENIUM;Lennon Stella,World War Joy,Takeaway,75,209880,False,-0.22358062393860942,-0.5183627560857045,0.022855869423461614,-0.4941943403995658,-0.5681050501191334,-0.5041145030885494,-0.5912158687056083,-0.4746817410298704,-0.7354586152470977,dance,"A calm, slow-paced dance song with a sad mood."
The Chainsmokers;Daya,Don't Let Me Down,Don't Let Me Down,80,208373,False,-0.20053145704648326,0.9049323179196109,0.6292978275103632,0.8261207087591639,-0.47487781242054417,-0.48770382367263165,-0.40737037708335483,-0.20082529755203882,1.2560913447720055,dance,"A high-energy, slow-paced dance song with a sad mood."
Selena Gomez & The Scene,When The Sun Goes Down,Who Says,77,195613,False,0.6638123014082475,1.1355220226467293,1.0625558690419563,-0.34759775542850335,-0.6935107214749775,-0.5041145030885494,-0.3390849087665179,1.0411715306150282,-0.7048029628802555,dance,"A high-energy, slow-paced dance song with a happy mood."
Sofía Reyes;Jason Derulo;De La Ghetto,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",79,201526,False,1.2976643909417165,1.0083001165903882,1.0233856835524089,-0.24356146932000744,-0.4508191704338115,-0.5041145030885494,-0.8585797408076855,1.2340281809515294,-0.9066499187798852,dance,"A high-energy, slow-paced dance song with a happy mood."
Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,83,201000,False,0.658050009685216,-1.070982910517936,0.004364360537533145,-0.3920496231294061,0.9776626975284421,-0.5041145030885494,-0.23403034212523013,0.007459884811382331,-1.0098917512884547,dance,"A calm, slow-paced dance song with a sad mood."
Charlie Puth,Light Switch (Instrumental),Light Switch,77,187703,False,0.7099106351924992,-0.061159031195728866,0.5101966036106734,2.0934718304444777,-0.6312589853343067,-0.5030323027727359,-0.6589760641892388,1.689169875745672,2.0635458836096245,dance,"A calm, slow-paced dance song with a happy mood."
ZAYN;Taylor Swift,reputation Stadium Tour Surprise Song Playlist,I Don’t Wanna Live Forever (Fifty Shades Darker),80,247160,False,0.9461645958367925,-0.7807579373269079,-0.03162449008991888,-0.29652539679342355,-0.7707991088573564,-0.5040511862939525,-0.3863594637550973,-1.4196793276787256,-0.13935795388097902,dance,"A calm, slow-paced dance song with a sad mood."
Ariana Grande,Positions,34+35,81,173710,True,1.5166314764169146,-0.22416209833041598,0.3545100287968885,0.08840886180801127,-0.23429139255321726,-0.5041145030885494,0.18093519610785616,0.042174081871952554,-0.40595204932798634,dance,"A calm, slow-paced dance song with a sad mood."
Marshmello;Jonas Brothers,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),85,154983,False,0.888541678606477,0.38411764000146476,0.6937198584677916,-0.4194773712852823,-0.9402320950489214,-0.5041002568097651,-0.5019194870605138,0.6284582988949159,-0.0724425690628238,dance,"A calm, slow-paced dance song with a happy mood."
Doja Cat,Boss Bitch,Boss Bitch,79,134239,False,0.8078695944840354,1.2468411904460275,0.7289133753797199,1.2990129183432362,-0.5650977198707917,-0.5041145030885494,-0.060690307167105446,0.3893160524776544,0.12813679729388985,dance,"A high-energy, slow-paced dance song with a sad mood."
Ariana Grande;Nicki Minaj,Dangerous Woman,Side To Side,76,226160,True,0.47941896627123815,0.3761662708729434,0.48096808956517356,1.3652178276850064,-0.7927526196702498,-0.5041145030885494,0.11264972779101909,0.5320299737266653,1.2351094020747875,dance,"A calm, slow-paced dance song with a sad mood."
Shawn Mendes;Tainy,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),82,184104,False,1.2054677233732118,0.6624155594997111,0.7472060508367673,0.3059392782166846,-0.8577109530344281,-0.5037042361031515,-0.5807104120414796,0.07688827893252279,0.06138820057348663,dance,"A high-energy, slow-paced dance song with a sad mood."
Avicii,True,Wake Me Up,85,247426,False,-0.20053145704648326,0.5630234453931945,0.5094012698951496,-0.305983240985105,-0.9356008064664751,-0.5002379646438444,-0.27605216878174527,0.6516010969352961,0.06445710157212581,dance,"A calm, slow-paced dance song with a happy mood."
Camila Cabello;Young Thug,Camila,Havana (feat. Young Thug),80,217306,False,1.142082514419865,-0.4706545413145765,0.7806100668887672,-0.5168931664596013,-0.39367989571532136,-0.5039994991146899,-0.4283812904116124,-0.30882502174047927,-0.5724065708846136,dance,"A calm, slow-paced dance song with a sad mood."
Shawn Mendes,Handwritten,Stitches,80,206880,False,1.0325989716822657,0.44772859302963536,0.31315267558965054,-0.16127822485237894,-0.9013172416353812,-0.5041145030885494,-0.866458833305782,1.0488857966284881,0.9251504012122261,dance,"A calm, slow-paced dance song with a happy mood."
Ava Max,Heaven & Hell,Kings & Queens,81,162398,False,0.4045091738718281,0.193284780916953,0.8354880932599097,-0.41758580244694604,-0.9233910456582085,-0.5041145030885494,-0.4704031170681275,-0.06582564231648794,0.2571640697149387,dance,"A calm, slow-paced dance song with a sad mood."
Sofía Reyes;Jason Derulo;De La Ghetto,Mal De Amores,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",73,201526,False,1.2976643909417165,1.0083001165903882,1.0233856835524089,-0.2454530381583437,-0.4508191704338115,-0.5041145030885494,-0.8585797408076855,1.2301710479447994,-0.9066499187798852,dance,"A high-energy, slow-paced dance song with a happy mood."
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),90,182906,True,1.3495250164490005,-0.1605511453022454,0.13619092388560394,1.611121776668724,-0.713359101114032,-0.5040101595954127,-0.3600958220947755,1.0257429985881081,1.2616287096173762,dance,"A calm, slow-paced dance song with a happy mood."
Marshmello;Demi Lovato,OK Not To Be OK,OK Not To Be OK,75,159862,False,1.015312096513171,0.7777104118632698,0.6430173341031488,-0.1868144041699188,-0.895302581138698,-0.5041145030885494,-0.7314637151717274,-0.8141094456221122,-0.6363197699432303,dance,"A high-energy, slow-paced dance song with a sad mood."
Charlie Puth;Jung Kook;BTS,CHARLIE,Left and Right (Feat. Jung Kook of BTS),75,154486,False,1.8105083542915232,-0.19633230638059135,0.6682691795710297,-0.4941943403995658,0.9145087623132688,-0.5040718611656577,-0.6484706075251101,0.9447432054467776,-0.7035020157177888,dance,"A calm, slow-paced dance song with a happy mood."
PRETTYMUCH,Phases - EP,Eyes Off You,71,204266,False,0.36993542353363884,-0.5143870715214438,-0.28155811019327504,-0.2596398044458659,0.5897170954923775,-0.5041145030885494,-0.6873407971823866,0.21188793416807367,-0.5377480041717205,dance,"A calm, slow-paced dance song with a sad mood."
Marshmello;Khalid,Numb,Numb,87,155588,False,1.989139397705501,0.5272422843148485,0.7130067010692438,-0.37029658148853883,-0.5831417013608413,-0.46308780454875514,-0.5912158687056083,0.6091726338612659,-0.07277614525832823,dance,"A calm, slow-paced dance song with a happy mood."
Kygo;Selena Gomez,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),77,220780,False,0.4217960490409227,-0.43089769567196995,0.33065001733117433,-0.13290469227733456,-0.5891563618575245,-0.5041145030885494,-0.6679057023537484,0.1578880720738533,-0.7398618210277536,dance,"A calm, slow-paced dance song with a sad mood."
Charlie Puth,Cheating on You,Cheating on You,78,196606,False,1.0498858468513603,-0.4229463265434486,0.2930704992726745,-0.48284492736954804,-0.9076326351568985,-0.5039965917108563,-0.6059235080353886,0.489601510652635,0.029831892478783394,dance,"A calm, slow-paced dance song with a sad mood."
The Chainsmokers;Bebe Rexha,World War Joy,Call You Mine,75,217640,False,0.10487000427418787,0.21713888830251699,0.528688112496602,-0.5102726755254241,-0.33353329074848964,-0.5041145030885494,0.6851971159860369,0.18488800312096348,-0.6050303228049303,dance,"A calm, slow-paced dance song with a sad mood."
Martin Garrix;Bebe Rexha,In the Name of Love,In the Name of Love,79,195706,False,-0.37916250046046107,-0.4865572795716192,0.4730147524099355,-0.41380266477027344,-0.6192296643409404,-0.5041145030885494,1.2629972325131194,-1.1805370812614642,0.39503111131685104,dance,"A calm, slow-paced dance song with a sad mood."
Halsey,hopeless fountain kingdom (Deluxe),Walls Could Talk,77,101789,True,0.3411239649184811,-0.8682229977406425,0.442195570933388,-0.31544108517678643,-0.5620903896224502,-0.5041145030885494,-0.176250330472522,0.37388752045073426,-0.9001785405871024,dance,"A calm, slow-paced dance song with a sad mood."
Ava Max,Heaven & Hell,Sweet but Psycho,81,187436,False,0.8827793868834455,0.2568957339451236,0.7038603633407199,-0.3532724619435122,-0.7413272724236087,-0.5041145030885494,-0.2497885271214233,0.5628870377805055,0.36207378320102984,dance,"A calm, slow-paced dance song with a sad mood."
Akon,Trouble Deluxe Edition,Lonely,81,235800,True,0.38722229870273345,-0.45872748762179455,0.0751490612191518,-0.48568228062705243,0.07245629277762466,-0.5041145030885494,0.22820975109643565,0.5744584368006955,-1.0694684598055162,dance,"A calm, slow-paced dance song with a sad mood."
Marshmello;Khalid,Silence,Silence,81,180822,False,-0.26967895772286177,0.47555838497945996,1.027163518701147,0.006125617340382713,-0.1771521178347271,-0.504098480062978,-0.22877761379316575,-0.7253953864673218,0.6612582729488033,dance,"A calm, slow-paced dance song with a sad mood."
Demi Lovato,Confident,Cool for the Summer,81,214739,True,0.09334542082812478,-0.12476998422389944,0.5209336087702447,-0.4393388440878134,-0.9342475078547215,-0.5037753059746377,-0.3863594637550973,-0.5325387361308205,-0.26978624632314585,dance,"A calm, slow-paced dance song with a sad mood."
Ariana Grande,"thank u, next","thank u, next",82,207320,True,0.8654925117143508,0.04618445203930899,0.5219277759146494,-0.1783023443974055,-0.2583500345399499,-0.5041145030885494,-0.5912158687056083,-0.23939662761933905,-0.5064251994138704,dance,"A calm, slow-paced dance song with a sad mood."
Duke & Jones;Louis Theroux,Jiggle Jiggle,Jiggle Jiggle,77,97208,False,1.712549394999987,-0.9119555279475097,0.47182175183664976,1.78136297211899,0.43032859233027343,-0.5013040127161382,-0.4704031170681275,0.6940295600093264,-0.7390612381585433,dance,"A calm, slow-paced dance song with a happy mood."
DJ Snake;Ozuna;Megan Thee Stallion;LISA,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",77,225600,True,1.343762724725969,0.7777104118632698,1.084029879361099,-0.3362483423984856,-0.9348189006019064,-0.4940031986452773,-0.6468947890254908,0.8791719443323671,-0.7382940129088836,dance,"A high-energy, slow-paced dance song with a happy mood."
Ariana Grande,My Everything (Deluxe),One Last Time,83,197266,False,0.3526485483645442,-0.1923566218163307,0.6408301663854585,-0.4951401248187339,-0.6673469483144057,-0.504109172848188,-0.6174795103659302,-1.4273935936921858,0.09601340966682904,dance,"A calm, slow-paced dance song with a sad mood."
Dua Lipa,Dua Lipa (Deluxe),New Rules,81,209320,False,1.1247956392507703,0.23304162655955962,0.44497923893772134,-0.14425410530735225,-0.9391795294620017,-0.5040641080887682,-0.31807399543826037,0.5166014416997452,-0.20263735816813794,dance,"A calm, slow-paced dance song with a sad mood."
David Guetta;Bebe Rexha;J Balvin,7,Say My Name,73,198946,False,0.7848204275919093,0.07401424398913362,0.6243269917883395,0.3626863433667732,-0.5350244173873758,-0.5041145030885494,-0.11321759048774933,1.2185996489246094,-0.9045483887482083,dance,"A calm, slow-paced dance song with a happy mood."
Clean Bandit;Sean Paul;Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),75,251088,False,0.8827793868834455,0.4835097541079813,0.8333009255422194,-0.305983240985105,0.27394741941651096,-0.5041145030885494,-0.176250330472522,1.033457264601568,-0.6732466547855522,dance,"A calm, slow-paced dance song with a happy mood."
Jason Derulo,Take You Dancing,Take You Dancing,78,190306,False,1.280377515772622,0.2767741567664269,0.797510908343648,-0.4128568803511053,-0.8471852971652326,-0.5041145030885494,-0.661602428355271,1.0758857276755984,-0.30564568733985426,dance,"A calm, slow-paced dance song with a happy mood."
